--------------------------------------------------------------
--------------------------------------------------------------
The following data gives the positions of possible binding sites for adatoms and admolecules across a cluster or surface.

The following sites are binding sites for top sites.
Site			Binding Position						Surface Position
Site 28	[11.01221495  7.24647307 14.6649451 ] 	[11.11345333  8.29242333 14.33977   ]
Site 29	[13.17749779  7.8335741  14.21722647] 	[12.45536333  8.65031667 14.07075667]
Site 30	[ 8.96915025 17.19661112 14.59809238] 	[ 9.45678667 16.22921    14.40744667]
Site 31	[10.89541582 17.526749   13.73523175] 	[10.71498667 16.44618667 13.83438   ]
Site 32	[ 7.77829931  7.705616   14.10274819] 	[ 8.07132333  8.73064667 13.83173333]
Site 33	[10.39613109  6.83834345 13.73900627] 	[10.33018667  7.77725    13.16970333]
Site 34	[ 8.48003362  7.12688734 13.41051492] 	[ 8.99188333  7.97818333 12.93796333]
Site 35	[ 6.62648144 15.95961763 14.3568839 ] 	[ 7.19613    15.04273667 14.14515333]
Site 36	[ 7.83614234 16.77718967 13.74020862] 	[ 8.34054333 15.81588667 13.56279333]
Site 37	[ 5.12371164 12.85368765 14.04825165] 	[ 6.20903333 13.00149333 13.94710667]
Site 38	[ 5.52780122 10.30041239 14.07150622] 	[ 6.59600333 10.51924    13.92639   ]
Site 39	[ 5.21500095 11.6291075  13.29321825] 	[ 6.30084    11.77026    13.18819667]
Site 40	[ 5.49994174 14.69727015 13.04351756] 	[ 6.45522    14.21021667 13.28892   ]
Site 41	[ 6.1040335   8.83112533 13.0673732 ] 	[ 7.02328     9.42581667 13.17380667]
Site 42	[15.37867444 13.29977533 13.00771986] 	[14.30282    13.07299667 12.97442333]
Site 43	[15.18908431 10.13549147 13.11741134] 	[14.21366 10.57151 12.85581]
Site 44	[15.57890343 11.80597434 12.12691648] 	[14.48283    11.72623    12.17449667]
Site 45	[13.30817574 15.33061233 12.21405491] 	[12.72966333 14.86721    13.02681667]
Site 46	[13.77472229 14.72040211 11.89078638] 	[13.49601333 13.80988    12.44148667]
Site 47	[13.5262722   7.7506686  13.67062243] 	[13.12252     8.39681667 12.87722667]
Site 48	[15.07409459  9.13977512 12.65528073] 	[14.05434667  9.22882667 12.25256   ]
