--------------------------------------------------------------
--------------------------------------------------------------
The following data gives the positions of possible binding sites for adatoms and admolecules across a cluster or surface.

The following sites are binding sites for top sites.
Site		Binding Position			Surface Position		Indices of atoms involved
Site 66	[14.99082693  9.49026417 12.58644944]	[14.01708149  9.93788729 12.33855159]	[24, 70]
Site 67	[10.94109192 17.33378083 13.35900813]	[10.82258969 16.28933629 13.03482791]	[25, 28]
Site 68	[13.14656195 15.16481321 12.36232676]	[12.09526662 15.00955242 12.6463553 ]	[25, 34]
Site 69	[11.69188401 17.01497296 11.75633674]	[11.52943168 15.94721883 11.96492811]	[25, 66]
Site 70	[10.93532041  6.41681239 12.92579678]	[10.6892616   7.42941189 12.57352227]	[26, 29]
Site 71	[13.08228465  6.8733904  13.05373206]	[12.86783776  7.83428927 12.56313457]	[26, 35]
Site 72	[12.19757101  6.4334265  12.46519128]	[11.85025552  7.37091902 12.00641057]	[26, 76]
Site 73	[ 7.90320336 16.8591794  13.0499062 ]	[ 8.38627538 15.90759707 12.78319944]	[28, 30]
Site 74	[10.44762875 17.19785497 11.59360469]	[10.27342613 16.13523416 11.81830555]	[28, 66]
Site 75	[ 8.69785366 17.50065653 11.92041047]	[ 8.96246542 16.43865727 11.81023697]	[28, 73]
Site 76	[ 8.09579934  6.83829495 12.44445063]	[ 8.71323875  7.72173544 12.22467467]	[29, 32]
Site 77	[ 9.62809699  5.48652434 11.23773415]	[ 9.82404063  6.49047532 10.83314978]	[29, 68]
Site 78	[ 8.54744631  6.15891255 11.03324833]	[ 8.81922307  7.22450638 11.05868812]	[29, 71]
Site 79	[10.81288849  5.823776   11.45735903]	[10.84853461  6.92245777 11.41701404]	[29, 76]
Site 80	[ 6.32715514 15.33888333 11.2433866 ]	[ 7.16458965 14.70654995 11.57332284]	[30, 72]
Site 81	[ 7.16264612 16.76928547 11.82980075]	[ 7.78215665 15.86890272 11.70523106]	[30, 73]
Site 82	[ 5.6515573  14.66353839 12.78965881]	[ 6.61931843 14.19031565 12.56717595]	[30, 77]
Site 83	[ 6.15722055  8.9499976  12.66136602]	[ 7.06811573  9.51902824 12.42372323]	[31, 32]
Site 84	[ 5.36234964 10.87524221 10.95344394]	[ 6.44626222 11.03649156 11.04900628]	[31, 61]
Site 85	[ 5.16711504  9.64380244 11.81904867]	[ 6.19864734  9.79306542 11.46739303]	[31, 74]
Site 86	[ 5.14957321 11.64514487 12.63828272]	[ 6.21498245 11.8091625  12.41919061]	[31, 77]
Site 87	[ 7.14991326  7.16003426 11.57946087]	[ 7.84492112  7.96529117 11.29923705]	[32, 71]
Site 88	[ 6.24932304  7.88632048 11.82907597]	[ 6.8694684   8.73655743 11.50889341]	[32, 74]
Site 89	[13.73175919 14.39795781 12.04816681]	[13.25970161 13.43720696 11.79494862]	[34, 59]
Site 90	[13.16556114 15.00136068 11.42939665]	[12.59805845 14.16424964 10.9967469 ]	[34, 62]
Site 91	[13.37995997 13.45550302 10.77563408]	[12.46911539 12.88658732 11.01374558]	[34, 63]
Site 92	[12.32011729 15.56333672 11.76119193]	[11.54610307 14.8554503  11.42983293]	[34, 66]
Site 93	[14.68943332  7.30159264 10.51954513]	[13.91840768  8.04827306 10.76035168]	[35, 60]
Site 94	[15.33664092  8.81843172 11.41564142]	[14.27054958  9.0533095  11.55085118]	[35, 70]
Site 95	[13.52226072  6.34930428 11.31562003]	[13.02711076  7.32733515 11.40662634]	[35, 76]
Site 96	[10.79214482 12.14353132  4.93071781]	[10.81057808 12.16266365  6.03039694]	[39, 40]
Site 97	[12.50427653 11.93969148  5.26843001]	[12.08419389 12.0144633   6.28230365]	[39, 41]
Site 98	[10.08360601 13.69313069  5.55658155]	[10.45114679 13.27107018  6.50356555]	[39, 45]
Site 99	[13.25860104 13.34022179  6.17475624]	[12.48544934 13.04533079  6.89951534]	[39, 47]
Site 100	[11.71239055 14.75099256  6.44427623]	[11.48931978 13.84941121  7.03367467]	[39, 48]
Site 101	[11.49103215 10.92455982  5.23644323]	[11.29064793 11.03187372  6.31270058]	[40, 41]
Site 102	[ 9.20241532 10.1642579   5.0265164 ]	[ 9.24001675 10.20676479  6.12505147]	[40, 42]
Site 103	[10.49663018  9.78809712  5.26933579]	[10.48548423 10.04547429  6.33874346]	[40, 43]
Site 104	[ 9.44374509 12.65271506  5.51828588]	[ 9.65760084 12.2884806   6.53396249]	[40, 45]
Site 105	[ 8.3610751  11.24057813  5.65287605]	[ 8.85097443 11.28382889  6.63681102]	[40, 46]
Site 106	[12.08352129  9.60579813  5.58080232]	[11.75910003  9.89727394  6.59065018]	[41, 43]
Site 107	[13.4200171   9.67009786  5.82256136]	[12.99576481  9.74932218  6.83435853]	[41, 44]
Site 108	[13.61103701 12.17351514  6.32962238]	[12.96551919 11.91454086  7.18181899]	[41, 47]
Site 109	[14.21548029 10.52517955  6.77388442]	[13.43159362 10.72497649  7.51927216]	[41, 50]
Site 110	[13.74903798 11.64091567  8.07935579]	[12.69527826 11.36953206  8.24041917]	[41, 63]
Site 111	[9.80836524 8.56034919 5.43446336]	[9.70846884 9.072165   6.40300106]	[42, 43]
Site 112	[ 7.41412634 10.48232454  5.83787463]	[ 8.07395904 10.3105196   6.70106862]	[42, 46]
Site 113	[8.6176807  7.59255421 6.37078279]	[8.82770359 8.42571119 7.05761598]	[42, 52]
Site 114	[6.99264725 8.69913403 6.79829748]	[7.82687953 9.22432743 7.28638393]	[42, 56]
Site 115	[12.31879168  8.24759817  5.89706981]	[12.1906011   8.76292275  6.8604014 ]	[43, 44]
Site 116	[9.96940793 7.55824169 6.43432265]	[10.07317107  8.2644207   7.27130797]	[43, 52]
Site 117	[11.56289004  7.35633988  6.72249814]	[11.338623    8.09987747  7.50150786]	[43, 54]
Site 118	[14.81327866  9.5544012   7.23599695]	[13.8630947   9.5906253   7.78902339]	[44, 50]
Site 119	[12.81040831  7.06424888  7.13961883]	[12.57528778  7.95192571  7.74521621]	[44, 54]
Site 120	[14.39836951  7.72297807  8.12051394]	[13.60969411  8.46040585  8.3307314 ]	[44, 60]
Site 121	[ 8.09784029 12.60547736  6.10522796]	[ 8.49154314 12.39223542  7.10997964]	[45, 46]
Site 122	[10.44319234 14.60455426  6.64139884]	[10.33634254 13.97522816  7.53724022]	[45, 48]
Site 123	[ 7.75548314 13.9209762   6.61613371]	[ 8.15970281 13.49648797  7.54694852]	[45, 53]
Site 124	[ 8.88831923 14.95487818  7.44347069]	[ 9.2067353  14.09272723  8.04787697]	[45, 57]
Site 125	[ 6.7134483  12.64829808  6.76866391]	[ 7.3530764  12.49183626  7.64979705]	[46, 53]
